Date: 2023-07-06, Time: 21:12:14, Device: sound system, Action: on
Date: 2023-07-06, Time: 21:33:18, Device: light, Action: off
Date: 2023-07-06, Time: 21:33:19, Device: sound system, Action: on
Date: 2023-07-06, Time: 21:33:20, Device: sound system, Action: off
Date: 2023-07-06, Time: 21:33:20, Device: Heater, Action: on
Date: 2023-07-06, Time: 21:33:21, Device: Heater, Action: off
Date: 2023-07-06, Time: 21:33:22, Device: A/C, Action: on
Date: 2023-07-06, Time: 21:33:23, Device: A/C, Action: off
Date: 2023-07-06, Time: 21:33:24, Device: light, Action: on
Date: 2023-07-06, Time: 21:33:25, Device: light, Action: off
Date: 2023-07-06, Time: 21:33:25, Device: sound system, Action: on
Date: 2023-07-06, Time: 21:33:26, Device: sound system, Action: off
Date: 2023-07-06, Time: 21:33:27, Device: Heater, Action: on
Date: 2023-07-06, Time: 21:33:27, Device: Heater, Action: off
Date: 2023-07-06, Time: 21:33:27, Device: A/C, Action: on
Date: 2023-07-06, Time: 21:33:28, Device: A/C, Action: off
Date: 2023-07-06, Time: 21:34:28, Device: light, Action: on
Date: 2023-07-06, Time: 21:34:29, Device: light, Action: off
Date: 2023-07-06, Time: 21:34:41, Device: sound system, Action: on
Date: 2023-07-06, Time: 21:34:41, Device: sound system, Action: off
Date: 2023-07-06, Time: 21:35:35, Device: A/C, Action: on
Date: 2023-07-06, Time: 21:35:36, Device: A/C, Action: off
Date: 2023-07-06, Time: 21:35:37, Device: A/C, Action: on
Date: 2023-07-06, Time: 21:35:38, Device: A/C, Action: off
Date: 2023-07-06, Time: 21:35:39, Device: light, Action: on
Date: 2023-07-06, Time: 21:35:39, Device: light, Action: off
Date: 2023-07-06, Time: 21:35:40, Device: sound system, Action: on
Date: 2023-07-06, Time: 21:35:41, Device: sound system, Action: off
Date: 2023-07-06, Time: 21:37:22, Device: A/C, Action: on
Date: 2023-07-06, Time: 21:37:25, Device: A/C, Action: off
Date: 2023-07-06, Time: 21:37:25, Device: light, Action: on
Date: 2023-07-06, Time: 21:37:26, Device: light, Action: off
Date: 2023-07-06, Time: 21:37:26, Device: sound system, Action: on
Date: 2023-07-06, Time: 21:37:27, Device: sound system, Action: off
Date: 2023-07-06, Time: 21:37:28, Device: Heater, Action: on
Date: 2023-07-06, Time: 21:37:28, Device: Heater, Action: off
